第32次: 第1局游戏结束, 奖励为 32.00, 平均奖励为 32.00
第47次: 第2局游戏结束, 奖励为 15.00, 平均奖励为 23.50
第65次: 第3局游戏结束, 奖励为 18.00, 平均奖励为 21.67
第74次: 第4局游戏结束, 奖励为  9.00, 平均奖励为 18.50
第87次: 第5局游戏结束, 奖励为 13.00, 平均奖励为 17.40
第101次: 第6局游戏结束, 奖励为 14.00, 平均奖励为 16.83
第113次: 第7局游戏结束, 奖励为 12.00, 平均奖励为 16.14
第124次: 第8局游戏结束, 奖励为 11.00, 平均奖励为 15.50
第138次: 第9局游戏结束, 奖励为 14.00, 平均奖励为 15.33
第148次: 第10局游戏结束, 奖励为 10.00, 平均奖励为 14.80
第159次: 第11局游戏结束, 奖励为 11.00, 平均奖励为 14.45
第170次: 第12局游戏结束, 奖励为 11.00, 平均奖励为 14.17
第181次: 第13局游戏结束, 奖励为 11.00, 平均奖励为 13.92
第200次: 第14局游戏结束, 奖励为 19.00, 平均奖励为 14.29
第210次: 第15局游戏结束, 奖励为 10.00, 平均奖励为 14.00
第225次: 第16局游戏结束, 奖励为 15.00, 平均奖励为 14.06
第238次: 第17局游戏结束, 奖励为 13.00, 平均奖励为 14.00
第250次: 第18局游戏结束, 奖励为 12.00, 平均奖励为 13.89
第262次: 第19局游戏结束, 奖励为 12.00, 平均奖励为 13.79
第275次: 第20局游戏结束, 奖励为 13.00, 平均奖励为 13.75
第288次: 第21局游戏结束, 奖励为 13.00, 平均奖励为 13.71
第302次: 第22局游戏结束, 奖励为 14.00, 平均奖励为 13.73
第323次: 第23局游戏结束, 奖励为 21.00, 平均奖励为 14.04
第339次: 第24局游戏结束, 奖励为 16.00, 平均奖励为 14.12
第358次: 第25局游戏结束, 奖励为 19.00, 平均奖励为 14.32
第369次: 第26局游戏结束, 奖励为 11.00, 平均奖励为 14.19
第384次: 第27局游戏结束, 奖励为 15.00, 平均奖励为 14.22
第404次: 第28局游戏结束, 奖励为 20.00, 平均奖励为 14.43
第428次: 第29局游戏结束, 奖励为 24.00, 平均奖励为 14.76
第444次: 第30局游戏结束, 奖励为 16.00, 平均奖励为 14.80
第457次: 第31局游戏结束, 奖励为 13.00, 平均奖励为 14.74
第475次: 第32局游戏结束, 奖励为 18.00, 平均奖励为 14.84
第497次: 第33局游戏结束, 奖励为 22.00, 平均奖励为 15.06
第511次: 第34局游戏结束, 奖励为 14.00, 平均奖励为 15.03
第534次: 第35局游戏结束, 奖励为 23.00, 平均奖励为 15.26
第579次: 第36局游戏结束, 奖励为 45.00, 平均奖励为 16.08
第600次: 第37局游戏结束, 奖励为 21.00, 平均奖励为 16.22
第623次: 第38局游戏结束, 奖励为 23.00, 平均奖励为 16.39
第650次: 第39局游戏结束, 奖励为 27.00, 平均奖励为 16.67
第667次: 第40局游戏结束, 奖励为 17.00, 平均奖励为 16.68
第718次: 第41局游戏结束, 奖励为 51.00, 平均奖励为 17.51
第746次: 第42局游戏结束, 奖励为 28.00, 平均奖励为 17.76
第792次: 第43局游戏结束, 奖励为 46.00, 平均奖励为 18.42
第834次: 第44局游戏结束, 奖励为 42.00, 平均奖励为 18.95
第882次: 第45局游戏结束, 奖励为 48.00, 平均奖励为 19.60
第923次: 第46局游戏结束, 奖励为 41.00, 平均奖励为 20.07
第953次: 第47局游戏结束, 奖励为 30.00, 平均奖励为 20.28
第983次: 第48局游戏结束, 奖励为 30.00, 平均奖励为 20.48
第1071次: 第49局游戏结束, 奖励为 88.00, 平均奖励为 21.86
第1160次: 第50局游戏结束, 奖励为 89.00, 平均奖励为 23.20
第1287次: 第51局游戏结束, 奖励为127.00, 平均奖励为 25.24
第1367次: 第52局游戏结束, 奖励为 80.00, 平均奖励为 26.29
第1469次: 第53局游戏结束, 奖励为102.00, 平均奖励为 27.72
第1533次: 第54局游戏结束, 奖励为 64.00, 平均奖励为 28.39
第1589次: 第55局游戏结束, 奖励为 56.00, 平均奖励为 28.89
第1618次: 第56局游戏结束, 奖励为 29.00, 平均奖励为 28.89
第1651次: 第57局游戏结束, 奖励为 33.00, 平均奖励为 28.96
第1697次: 第58局游戏结束, 奖励为 46.00, 平均奖励为 29.26
第1707次: 第59局游戏结束, 奖励为 10.00, 平均奖励为 28.93
第1747次: 第60局游戏结束, 奖励为 40.00, 平均奖励为 29.12
第1778次: 第61局游戏结束, 奖励为 31.00, 平均奖励为 29.15
第1802次: 第62局游戏结束, 奖励为 24.00, 平均奖励为 29.06
第1820次: 第63局游戏结束, 奖励为 18.00, 平均奖励为 28.89
第1850次: 第64局游戏结束, 奖励为 30.00, 平均奖励为 28.91
第1862次: 第65局游戏结束, 奖励为 12.00, 平均奖励为 28.65
第1883次: 第66局游戏结束, 奖励为 21.00, 平均奖励为 28.53
第1919次: 第67局游戏结束, 奖励为 36.00, 平均奖励为 28.64
第1971次: 第68局游戏结束, 奖励为 52.00, 平均奖励为 28.99
第1996次: 第69局游戏结束, 奖励为 25.00, 平均奖励为 28.93
第2029次: 第70局游戏结束, 奖励为 33.00, 平均奖励为 28.99
第2104次: 第71局游戏结束, 奖励为 75.00, 平均奖励为 29.63
第2177次: 第72局游戏结束, 奖励为 73.00, 平均奖励为 30.24
第2270次: 第73局游戏结束, 奖励为 93.00, 平均奖励为 31.10
第2363次: 第74局游戏结束, 奖励为 93.00, 平均奖励为 31.93
第2530次: 第75局游戏结束, 奖励为167.00, 平均奖励为 33.73
第2608次: 第76局游戏结束, 奖励为 78.00, 平均奖励为 34.32
第2703次: 第77局游戏结束, 奖励为 95.00, 平均奖励为 35.10
第2854次: 第78局游戏结束, 奖励为151.00, 平均奖励为 36.59
第3054次: 第79局游戏结束, 奖励为200.00, 平均奖励为 38.66
第3152次: 第80局游戏结束, 奖励为 98.00, 平均奖励为 39.40
第3205次: 第81局游戏结束, 奖励为 53.00, 平均奖励为 39.57
第3228次: 第82局游戏结束, 奖励为 23.00, 平均奖励为 39.37
第3258次: 第83局游戏结束, 奖励为 30.00, 平均奖励为 39.25
第3279次: 第84局游戏结束, 奖励为 21.00, 平均奖励为 39.04
第3301次: 第85局游戏结束, 奖励为 22.00, 平均奖励为 38.84
第3328次: 第86局游戏结束, 奖励为 27.00, 平均奖励为 38.70
第3346次: 第87局游戏结束, 奖励为 18.00, 平均奖励为 38.46
第3366次: 第88局游戏结束, 奖励为 20.00, 平均奖励为 38.25
第3384次: 第89局游戏结束, 奖励为 18.00, 平均奖励为 38.02
第3399次: 第90局游戏结束, 奖励为 15.00, 平均奖励为 37.77
第3420次: 第91局游戏结束, 奖励为 21.00, 平均奖励为 37.58
第3440次: 第92局游戏结束, 奖励为 20.00, 平均奖励为 37.39
第3466次: 第93局游戏结束, 奖励为 26.00, 平均奖励为 37.27
第3489次: 第94局游戏结束, 奖励为 23.00, 平均奖励为 37.12
第3506次: 第95局游戏结束, 奖励为 17.00, 平均奖励为 36.91
第3531次: 第96局游戏结束, 奖励为 25.00, 平均奖励为 36.78
第3563次: 第97局游戏结束, 奖励为 32.00, 平均奖励为 36.73
第3592次: 第98局游戏结束, 奖励为 29.00, 平均奖励为 36.65
第3617次: 第99局游戏结束, 奖励为 25.00, 平均奖励为 36.54
第3678次: 第100局游戏结束, 奖励为 61.00, 平均奖励为 36.78
第3734次: 第101局游戏结束, 奖励为 56.00, 平均奖励为 37.02
第3814次: 第102局游戏结束, 奖励为 80.00, 平均奖励为 37.67
第3987次: 第103局游戏结束, 奖励为173.00, 平均奖励为 39.22
第4106次: 第104局游戏结束, 奖励为119.00, 平均奖励为 40.32
第4153次: 第105局游戏结束, 奖励为 47.00, 平均奖励为 40.66
第4229次: 第106局游戏结束, 奖励为 76.00, 平均奖励为 41.28
第4365次: 第107局游戏结束, 奖励为136.00, 平均奖励为 42.52
第4470次: 第108局游戏结束, 奖励为105.00, 平均奖励为 43.46
第4532次: 第109局游戏结束, 奖励为 62.00, 平均奖励为 43.94
第4588次: 第110局游戏结束, 奖励为 56.00, 平均奖励为 44.40
第4669次: 第111局游戏结束, 奖励为 81.00, 平均奖励为 45.10
第4736次: 第112局游戏结束, 奖励为 67.00, 平均奖励为 45.66
第4797次: 第113局游戏结束, 奖励为 61.00, 平均奖励为 46.16
第4890次: 第114局游戏结束, 奖励为 93.00, 平均奖励为 46.90
第4980次: 第115局游戏结束, 奖励为 90.00, 平均奖励为 47.70
第5050次: 第116局游戏结束, 奖励为 70.00, 平均奖励为 48.25
第5089次: 第117局游戏结束, 奖励为 39.00, 平均奖励为 48.51
第5140次: 第118局游戏结束, 奖励为 51.00, 平均奖励为 48.90
第5176次: 第119局游戏结束, 奖励为 36.00, 平均奖励为 49.14
第5207次: 第120局游戏结束, 奖励为 31.00, 平均奖励为 49.32
第5240次: 第121局游戏结束, 奖励为 33.00, 平均奖励为 49.52
第5278次: 第122局游戏结束, 奖励为 38.00, 平均奖励为 49.76
第5307次: 第123局游戏结束, 奖励为 29.00, 平均奖励为 49.84
第5351次: 第124局游戏结束, 奖励为 44.00, 平均奖励为 50.12
经过5351轮完成124局游戏!
